Syntax version=4																
Thu Apr 25 23:25:47 2019																
Starting process (3801787 clocks per sec)																
																
LogRawData=false																
VarHeader=1																
D:		Ax	Ay	Az	Gx	Gy	Gz	Mx	My	Mz	TbY	TbP	TbR	ts		
D:	time(ms)	"(0x20000404,6)"	"(0x20000408,6)"	"(0x2000040c,6)"	"(0x20000410,6)"	"(0x20000414,6)"	"(0x20000418,6)"	"(0x2000041c,6)"	"(0x20000420,6)"	"(0x20000424,6)"	"(0x200002f4,6)"	"(0x200002ec,6)"	"(0x200002f0,6)"			
D:	330.39	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.99		
D:	338.37	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.98		
D:	346.49	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8.12		
D:	354.38	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.89		
D:	362.41	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8.03		
D:	370.39	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.98		
D:	379.39	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	9		
D:	387.37	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.98		
D:	396.38	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	9.01		
D:	404.39	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8.01		
D:	412.38	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.99		
D:	420.43	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8.05		
D:	428.39	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.96		
D:	436.4	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8.01		
D:	444.39	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	7.99		
D:	452.39	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8		
D:	460.49	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8.1		
D:	469.37	-0.458144	-8.819279	-6.337664	-0.834783	-16.069565	-11.547826	64	18	-113	15.708637	-2.415609	-54.227631	8.88		
D:	477.5	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8.13		
D:	485.39	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	7.89		
D:	493.46	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8.07		
D:	501.4	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	7.94		
D:	509.42	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8.02		
D:	517.39	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	7.97		
D:	525.47	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8.08		
D:	533.39	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	7.92		
D:	541.39	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8		
D:	549.39	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8		
D:	562.38	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	12.99		
D:	570.39	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8.01		
D:	578.39	2.863402	-9.888283	-5.077767	5.217391	-18.017391	-9.252174	76	9	-110	6.753574	14.445156	-59.479218	8		
D:	586.4	2.863402	-9.888283	-5.077767	-0.904348	-16.069565	-12.243478	82	6	-106	4.184916	-2.563108	-52.620884	8.01		
D:	594.4	-0.496323	-8.819279	-6.719451	-0.904348	-16.069565	-12.243478	82	6	-106	4.184916	0	-43.786282	8		
D:	602.57	0	-8.819279	-9.201066	0	-16.069565	-16.765217	82	6	-106	4.184916	0	-43.786282	8.17		
D:	610.37	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	7.8		
D:	618.47	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	8.1		
D:	626.44	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	7.97		
D:	634.41	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	7.97		
D:	642.41	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	8		
D:	650.47	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	8.06		
D:	658.48	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	8.01		
D:	666.41	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	7.93		
D:	682.39	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	15.98		
D:	690.4	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	8.01		
D:	698.37	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	7.97		
D:	706.37	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	6.044092	-3.771695	-49.919144	8		
D:	714.39	-0.725395	-8.437492	-7.063059	-1.321739	-15.373913	-12.869565	85	9	-97	5.440332	-2.612324	-54.775211	8.02		
D:	722.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.99		
D:	730.37	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.99		
D:	738.44	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8.07		
D:	746.39	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.95		
D:	754.51	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8.12		
D:	762.46	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.95		
D:	770.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.92		
D:	778.4	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8.02		
D:	786.39	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.99		
D:	794.45	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8.06		
D:	802.36	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.91		
D:	810.41	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8.05		
D:	818.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.97		
D:	826.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8		
D:	834.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8		
D:	842.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8		
D:	850.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8		
D:	858.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8		
D:	866.37	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.99		
D:	874.36	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.99		
D:	882.39	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8.03		
D:	890.38	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	7.99		
D:	898.41	-0.496323	-8.895637	-6.261306	-0.904348	-16.208696	-11.408695	84	8	-99	5.440332	-2.612324	-54.775211	8.03		
D:	906.46	4.199656	-8.20842	-3.894227	7.652174	-14.956522	-7.095652	83	9	-101	6.188616	24.808556	-55.095108	8.05		
D:	914.36	4.199656	-8.20842	-3.894227	7.652174	-14.956522	-7.095652	83	9	-101	6.188616	24.808556	-55.095108	7.9		
D:	922.36	4.199656	-8.20842	-3.894227	7.652174	-14.956522	-7.095652	83	9	-101	6.188616	24.808556	-55.095108	8		
D:	930.36	4.199656	-8.20842	-3.894227	7.652174	-14.956522	-7.095652	83	9	-101	6.188616	24.808556	-55.095108	8		
D:	938.36	4.199656	-8.20842	-3.894227	7.652174	-14.956522	-7.095652	83	9	-101	6.188616	24.808556	-55.095108	8		
D:	946.39	4.199656	-8.20842	-3.894227	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	8.03		
D:	954.38	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	7.99		
D:	962.36	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	7.98		
D:	970.46	1.030825	-10.079176	-3.550619	1.878261	-18.365217	-6.469565	81	2	-111	1.414423	5.509841	-69.856033	8.1		
